Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,359787 - JOSE PAULO DA SILVA,372.7,1809.0,4.1,29.17,99.81
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,359665 - LEANDRO LUIS DA SILVA,371.8,1843.8,4.5,35.13,70.72
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,600615 - VITAL FERREIRA DA COSTA,360.9,1760.5,3.8,30.33,89.28
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,359698 - GETULIO DE JESUS SANTOS,353.6,1739.2,4.4,31.53,69.89
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62238 - TRATOR JOHN DEERE 7230J,600277 - PEDRO HENRIQUE RODRIGUES ZUMBA,351.7,1824.3,3.3,11.80,14.94
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,281 - COLHEITA DE MUDA,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,351.6,2082.2,3.4,32.06,99.83
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,600400 - CLEITON MARCELINO BARROS,346.9,1884.9,3.9,37.40,89.72
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,344.0,1747.1,4.5,30.85,83.96
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62240 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,341.0,,,13.13,
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62237 - TRATOR JOHN DEERE 7230J,359664 - ELIELSON ALMEIDA DOS SANTOS,337.1,1923.8,3.5,12.06,13.23
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,181 - COLHEITA DE MUDA,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,329.9,2154.6,2.5,32.32,182.77
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62502 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,327.9,1887.1,3.5,31.56,102.96
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,601665 - DIVINO APARECIDO DE FREITAS JUNIOR,322.8,1854.1,3.7,31.62,103.99
